1,53,1643,135143,25
2,40,1240,180604,3
3,54,1674,035132,9
4,60,1860,154355,38
5,22,682,081705,18
6,37,1147,184018,4
7,30,930,192021,20
8,40,1240,220748,35
9,33,1023,110049,6
10,26,806,072842,47
11,54,1674,121739,13
12,55,1705,195250,42
13,39,1209,145756,8
14,38,1178,234131,44
15,49,1519,203843,48
16,48,1488,022907,29
17,33,1023,084103,33
18,44,1364,082920,46
19,43,1333,041828,27
20,21,651,214353,39
21,21,651,152750,16
22,51,1581,092626,10
23,32,992,232412,37
24,52,1612,090245,15
25,57,1767,005652,34
26,57,1767,081054,21
27,29,899,232419,41
28,49,1519,192036,31
29,45,1395,195704,11
30,57,1767,221016,23
31,22,682,091640,17
32,51,1581,090749,40
33,37,1147,230149,43
34,47,1457,185009,22
35,20,620,075113,50
36,43,1333,152542,1
37,46,1426,161057,28
38,35,1085,230147,36
39,42,1302,134549,2
40,53,1643,163540,12
41,32,992,131039,26
42,35,1085,073613,7
43,23,713,045043,45
44,38,1178,010549,32
45,48,1488,160013,19
46,33,1023,144643,24
47,25,775,164903,49
48,45,1395,214148,5
49,32,992,065323,30
50,56,1736,071252,14
